[2024-12-02 00:17:06,061] WARN Session 0x100000146930000 for server localhost/127.0.0.1:2181, Closing socket connection. Attempting reconnect except it is a SessionExpiredException. (org.apache.zookeeper.ClientCnxn)
EndOfStreamException: Unable to read additional data from server sessionid 0x100000146930000, likely server has closed socket
[2024-12-02 00:17:07,299] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner$CleanerThread)
[2024-12-02 00:17:07,367] INFO [ProducerStateManager partition=__consumer_offsets-16] Wrote producer snapshot at offset 1 with 0 producer ids in 2 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-12-02 00:17:07,387] INFO [ProducerStateManager partition=mosquitto-0] Wrote producer snapshot at offset 2 with 0 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2024-12-02 00:17:07,454] INFO Shutdown complete. (kafka.log.LogManager)
[2024-12-02 00:17:07,471] INFO [feature-zk-node-event-process-thread]: Shutting down (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2024-12-02 00:17:07,471] INFO [feature-zk-node-event-process-thread]: Stopped (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2024-12-02 00:17:07,471] INFO [feature-zk-node-event-process-thread]: Shutdown completed (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2024-12-02 00:17:07,472] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2024-12-02 00:17:07,893] INFO Opening socket connection to server localhost/127.0.0.1:2181. (org.apache.zookeeper.ClientCnxn)
[2024-12-02 00:17:07,996] INFO Session: 0x100000146930000 closed (org.apache.zookeeper.ZooKeeper)
[2024-12-02 00:17:07,996] INFO EventThread shut down for session: 0x100000146930000 (org.apache.zookeeper.ClientCnxn)
[2024-12-02 00:17:07,997] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2024-12-02 00:17:07,997] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,998] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,998] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,998] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-ControllerMutation]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-ControllerMutation]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:07,999] INFO [ThrottledChannelReaper-ControllerMutation]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2024-12-02 00:17:08,000] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutting down socket server (kafka.network.SocketServer)
[2024-12-02 00:17:08,016] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutdown completed (kafka.network.SocketServer)
[2024-12-02 00:17:08,016] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics)
[2024-12-02 00:17:08,016] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics)
[2024-12-02 00:17:08,017] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics)
[2024-12-02 00:17:08,017] INFO Broker and topic stats closed (kafka.server.BrokerTopicStats)
[2024-12-02 00:17:08,018] INFO App info kafka.server for 0 unregistered (org.apache.kafka.common.utils.AppInfoParser)
[2024-12-02 00:17:08,018] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
